4 players
2: PPG
30 : 126.53285714285715 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Aaron Jones', 'Dak Prescott')
31 : 126.52958333333333 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce')
32 : 126.51541666666667 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams', 'Kyler Murray')
33 : 126.495 : ('Derrick Henry', 'Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Davante Adams')
34 : 126.41749999999999 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams', 'Stefon Diggs')
35 : 126.3352380952381 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Tyreek Hill', 'Dalvin Cook')
36 : 126.21375 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Davante Adams', 'Stefon Diggs')
37 : 126.16732142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Tom Brady')
38 : 126.1314880952381 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Tyreek Hill', 'Dalvin Cook')
39 : 126.0275 : ('DeAndre Hopkins', 'Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott')
40 : 125.92791666666666 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams', 'Deshaun Watson')
41 : 125.90190476190477 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce')
42 : 125.86732142857143 : ('Derrick Henry', 'Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook')
43 : 125.74857142857142 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott', 'Calvin Ridley')
44 : 125.74482142857143 : ('Christian McCaffrey', 'Tyreek Hill', 'Davante Adams', 'Dalvin Cook', 'Aaron Rodgers')
45 : 125.72958333333334 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Aaron Rodgers')
46 : 125.71857142857142 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott', 'AJ Brown')
47 : 125.695 : ('Derrick Henry', 'Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Aaron Rodgers')
48 : 125.69333333333333 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott', 'David Montgomery')
49 : 125.6752380952381 : ('Christian McCaffrey', 'Patrick Mahomes', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce')
